region_id,country_name,income_id,gdp,food_organic_waste_percent,glass_percent,metal_percent,other_percent,plastic_percent,population,e_waste_tons_year,total_solid_waste_generated_tons_year,waste_treatment_recycling_percent,msw_per_capita,gdp_per_capita,ewaste_per_capita,msw_gdp_ratio,mswpc_gdppc_ratio,ewaste_gdp_ratio,ewastepc_gdppc_ratio
ECS,Bosnia and Herzegovina,UMC,18929698720.0,,,,100.0,,3535961.0,1409.0,1248718.0,0.0,0.353148125785324,5353.480629452644,0.00039847724564835414,6.596607893609412e-05,6.596607893609412e-05,7.443330297229369e-08,7.443330297229367e-08
ECS,Belarus,UMC,59187019676.0,30.0,8.0,2.0,48.0,12.0,9489616.0,72000.0,4280000.0,16.0,0.4510193036261952,6237.029999527905,0.007587240621749078,7.231315284042788e-05,7.231315284042788e-05,1.2164829449791604e-06,1.2164829449791606e-06
LCN,Belize,UMC,1602671549.0,47.0,8.0,5.0,21.0,19.0,359288.0,2300.0,101378.83,,0.28216592260248047,4460.687662822026,0.006401549731691568,6.325614881181123e-05,6.325614881181121e-05,1.4351037812052656e-06,1.4351037812052654e-06
LCN,Bolivia,LMC,26758341469.0,55.2,2.9,2.5,29.2,10.19,10724705.0,35392.0,2219052.0,12.11,0.20691030662381857,2495.0188810787804,0.0033000441503985424,8.29293550413358e-05,8.29293550413358e-05,1.3226529768671292e-06,1.3226529768671292e-06
LCN,Brazil,UMC,2256910000000.0,51.4,2.4,2.9,29.8,13.5,205962108.0,1411900.0,79889010.0,1.4,0.38788207586222606,10957.889399733664,0.006855144442394229,3.539751695902805e-05,3.539751695902805e-05,6.255898551559434e-07,6.255898551559434e-07
LCN,Barbados,HIC,4637855785.0,18.3,3.7,4.9,56.1,17.1,280601.0,3800.0,174815.44,9.0,0.6230036243634199,16528.29385853935,0.0135423608611516,3.769315996530065e-05,3.769315996530064e-05,8.193441487098763e-07,8.193441487098763e-07
EAS,Brunei,HIC,13301457675.0,36.0,3.0,4.0,41.0,16.0,423196.0,7700.0,216253.16,,0.5110000094518852,31430.962662690574,0.01819487896861029,1.6257854235513326e-05,1.6257854235513326e-05,5.788839229607217e-07,5.788839229607217e-07
SAS,Bhutan,LMC,2234759342.0,58.0,4.0,1.0,24.0,13.0,686958.0,1457.5,111314.05,0.86,0.16203909118170254,3253.123687328774,0.0021216726495651844,4.981030749395118e-05,4.9810307493951186e-05,6.521955060698432e-07,6.521955060698434e-07
SSF,Botswana,UMC,16843294913.0,8.1,,0.1,91.9,,2014866.0,16000.0,210854.44,1.0,0.10464936129747586,8359.51120967846,0.00794097473479626,1.2518598118071199e-05,1.2518598118071199e-05,9.499329010531586e-07,9.499329010531589e-07
SSF,Central African Republic,LIC,1496562092.0,,,,0.0,,4515392.0,2700.0,1105983.0,,0.24493620930364407,331.43569639136535,0.0005979547290689269,0.0007390157788387974,0.0007390157788387975,1.8041349666900424e-06,1.8041349666900424e-06
NAC,Canada,HIC,1828000000000.0,24.0,6.0,13.0,55.0,3.0,35544564.0,724000.0,25103034.0,20.59,0.7062411568756336,51428.39844652476,0.020368796758908056,1.3732513129102844e-05,1.3732513129102844e-05,3.9606126914660834e-07,3.960612691466083e-07
ECS,Switzerland,HIC,642090000000.0,29.0,4.0,3.0,49.0,15.0,8372098.0,184000.0,6060000.0,32.0,0.7238329030548855,76694.03774298867,0.02197776471321764,9.437929262252955e-06,9.437929262252957e-06,2.865641888208818e-07,2.865641888208818e-07
LCN,Chile,HIC,267904000000.0,53.3,6.6,2.3,28.4,9.4,16829442.0,176000.0,6520000.0,0.37,0.38741629104518144,15918.76902395219,0.010457863071158272,2.433707596751075e-05,2.4337075967510752e-05,6.569517439082657e-07,6.569517439082657e-07
EAS,China,UMC,9505160000000.0,61.2,2.1,1.1,25.8,9.8,1370000000.0,7210000.0,210000000.0,,0.15328467153284672,6938.07299270073,0.005262773722627737,2.2093263027660765e-05,2.209326302766077e-05,7.585353639496863e-07,7.585353639496863e-07
SSF,Ivory Coast,LMC,36796468787.0,,,,0.0,,20401331.0,22000.0,4440814.27,3.0,0.21767277193826223,1803.6307918831374,0.0010783610147788887,0.00012068588145525845,0.00012068588145525845,5.978834579847642e-07,5.978834579847642e-07
SSF,Cameroon,LMC,35051979601.0,83.4,0.1,0.7,12.5,3.3,21655715.0,19000.0,3270616.59,0.4,0.15102787370447016,1618.6018148558014,0.0008773665519702305,9.330761421265611e-05,9.330761421265611e-05,5.420521241960882e-07,5.420521241960881e-07
SSF,Democratic Republic of the Congo,LIC,32089998961.0,,,,0.0,,78736153.0,,14385226.02,4.9,0.18270166209415895,407.5637142317583,,0.00044827754707885234,0.00044827754707885234,,
SSF,Republic of Congo,LMC,14205686708.0,,,,0.0,,2648507.0,,451200.0,26.2,0.170360131198445,5363.658358463844,,3.1761928111923276e-05,3.1761928111923276e-05,,
